State,County,Area Symbol,Download_Link
North Carolina,Buncombe County,NC021,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC021_soildb_NC_2003_[2020-06-02].zip
North Carolina,Burke County,NC023,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC023_soildb_NC_2003_[2020-06-02].zip
North Carolina,Cabarrus County,NC025,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC025_soildb_NC_2003_[2020-06-02].zip
North Carolina,Caldwell County,NC027,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC027_soildb_NC_2003_[2020-06-02].zip
North Carolina,Camden County,NC029,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC029_soildb_NC_2003_[2020-06-02].zip
North Carolina,Carteret County,NC031,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC031_soildb_NC_2003_[2020-06-02].zip
North Carolina,Caswell County,NC033,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC033_soildb_NC_2003_[2020-06-02].zip
North Carolina,Catawba County,NC035,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC035_soildb_NC_2003_[2020-06-02].zip
North Carolina,Chatham County,NC037,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC037_soildb_NC_2003_[2020-06-02].zip
North Carolina,Cherokee County,NC039,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC039_soildb_NC_2003_[2020-06-02].zip
North Carolina,Chowan County,NC041,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC041_soildb_NC_2003_[2020-06-02].zip
North Carolina,Clay County,NC043,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC043_soildb_NC_2003_[2020-06-02].zip
North Carolina,Cleveland County,NC045,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC045_soildb_NC_2003_[2020-06-02].zip
North Carolina,Columbus County,NC047,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC047_soildb_NC_2003_[2020-06-02].zip
North Carolina,Craven County,NC049,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC049_soildb_NC_2003_[2020-06-02].zip
North Carolina,Cumberland County,NC051,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC051_soildb_NC_2003_[2020-06-02].zip
North Carolina,Currituck County,NC053,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC053_soildb_NC_2003_[2020-06-02].zip
North Carolina,Dare County,NC055,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC055_soildb_NC_2003_[2020-06-02].zip
North Carolina,Davidson County,NC057,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC057_soildb_NC_2003_[2020-06-02].zip
North Carolina,Davie County,NC059,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC059_soildb_NC_2003_[2020-06-02].zip
North Carolina,Duplin County,NC061,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC061_soildb_NC_2003_[2020-06-02].zip
North Carolina,Durham County,NC063,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC063_soildb_NC_2003_[2020-06-02].zip
North Carolina,Edgecombe County,NC065,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC065_soildb_NC_2003_[2020-06-02].zip
North Carolina,Forsyth County,NC067,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC067_soildb_NC_2003_[2020-06-03].zip
North Carolina,Franklin County,NC069,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC069_soildb_NC_2003_[2020-06-04].zip
North Carolina,Gaston County,NC071,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC071_soildb_NC_2003_[2020-06-04].zip
North Carolina,Gates County,NC073,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC073_soildb_NC_2003_[2020-06-04].zip
North Carolina,Graham County,NC075,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC075_soildb_NC_2003_[2020-06-04].zip
North Carolina,Granville County,NC077,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC077_soildb_NC_2003_[2020-06-04].zip
North Carolina,Greene County,NC079,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC079_soildb_NC_2003_[2020-06-04].zip
North Carolina,Guilford County,NC081,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC081_soildb_NC_2003_[2020-06-04].zip
North Carolina,Halifax County,NC083,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC083_soildb_NC_2003_[2020-06-04].zip
North Carolina,Harnett County,NC085,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC085_soildb_NC_2003_[2020-06-04].zip
North Carolina,Henderson County,NC089,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC089_soildb_NC_2003_[2020-06-04].zip
North Carolina,Hertford County,NC091,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC091_soildb_NC_2003_[2020-06-04].zip
North Carolina,Hoke County,NC093,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC093_soildb_NC_2003_[2020-06-04].zip
North Carolina,Hyde County,NC095,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC095_soildb_NC_2003_[2020-06-04].zip
North Carolina,Iredell County,NC097,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC097_soildb_NC_2003_[2020-06-04].zip
North Carolina,Jackson County,NC099,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC099_soildb_NC_2003_[2020-06-04].zip
North Carolina,Johnston County,NC101,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC101_soildb_NC_2003_[2020-06-04].zip
North Carolina,Jones County,NC103,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC103_soildb_NC_2003_[2020-06-04].zip
North Carolina,Lee County,NC105,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC105_soildb_NC_2003_[2020-06-04].zip
North Carolina,Lenoir County,NC107,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC107_soildb_NC_2003_[2020-06-04].zip
North Carolina,Lincoln County,NC109,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC109_soildb_NC_2003_[2020-06-04].zip
North Carolina,McDowell County,NC111,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC111_soildb_NC_2003_[2020-06-04].zip
North Carolina,Macon County,NC113,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC113_soildb_NC_2003_[2020-06-04].zip
